GeneID	GSM6423489	GSM6423490	GSM6423495	GSM6423496	GSM6423497	GSM6423498	GSM6423499	GSM6423500
105378591	2	1	1	1	0	0	0	0
5590	1648	1951	770	536	1097	1202	1401	1293
100506504	64	75	17	10	55	56	60	72
199990	487	645	381	283	1256	1340	1338	1367
112268219	81	124	120	65	105	116	127	143
105378593	0	3	1	3	3	7	8	7
6497	3725	4331	672	642	3650	3796	3644	3941
79906	413	439	120	108	129	112	129	94
100129534	107	118	23	32	24	25	25	11
11079	3549	4121	1849	1363	2998	3116	3203	3972
5192	564	780	401	316	732	752	765	767
9651	207	480	35	24	75	82	77	47
55229	830	1377	344	220	990	1074	1278	1126
388585	5	18	1	0	0	0	0	0
115110	27	70	1	1	21	30	27	21
8764	144	324	0	2	117	146	158	116
100996583	0	0	1	3	0	0	1	0
127281	821	1073	222	205	1569	1622	1716	1878
79258	106	146	28	27	210	213	251	272
105378597	1	1	1	1	0	1	1	1
100287898	27	50	55	31	8	20	15	20
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	1	0	0	0	0	0	1	0
107984904	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	1	0	0
440556	4	2	15	11	0	0	0	0
63976	143	106	120	143	3	1	0	1
100422968	0	0	0	0	0	0	0	0
105378606	0	0	1	0	0	0	0	0
107984909	3	0	0	0	0	0	0	0
105378605	2	0	0	0	0	0	0	0
105378604	8	3	6	3	0	1	0	0
27237	1209	1670	192	93	76	112	142	123
1953	223	616	145	154	154	302	346	149
105378608	0	1	0	0	0	0	1	1
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	1213	1823	250	219	1164	1323	1592	1544
49856	769	965	219	157	488	514	563	670
7161	490	568	18	19	13	9	12	16
105378610	2	1	0	0	1	0	2	0
105378609	0	0	0	0	0	0	0	0
57212	870	1290	392	349	903	905	1038	1020
148870	6	5	5	7	1	2	5	3
388588	4	11	26	15	18	24	29	22
57470	2533	3013	531	363	1710	1666	1612	1942
9731	1905	2250	112	160	1954	1935	1865	1932
1677	210	205	39	34	363	340	335	380
107984910	11	8	1	0	13	24	24	38
339448	973	1006	250	251	836	809	861	1023
100133612	16	13	9	4	10	5	4	21
728716	0	0	0	0	0	0	0	0
105376672	0	1	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	1	0	0	0	0	0	0	0
55966	0	0	0	0	0	0	0	0
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	2	1	0	0	0	0	0	1
261734	711	1115	178	112	515	609	590	612
8514	449	430	359	233	462	506	691	755
26038	28	38	43	43	53	78	111	86
105376687	1	0	0	0	0	0	0	0
6146	17728	19357	2420	2121	11606	11926	11895	11277
107985733	26	71	14	17	31	50	57	43
102724450	13	13	8	9	7	22	13	11
388591	719	985	226	259	536	701	823	613
23463	6482	7484	2463	1704	7883	8228	8304	9115
148645	45	41	17	16	10	6	15	10
390992	0	0	0	0	0	0	2	1
387509	528	1031	147	128	5619	8835	12642	8033
11332	2752	2969	1217	794	2294	2716	3218	3026
54626	561	1739	44	35	425	757	979	472
83715	272	883	11	11	223	272	393	235
100422975	0	0	0	0	0	0	1	1
8718	241	390	78	57	330	439	633	436
57449	1187	1796	439	304	1783	2258	2825	2097
79707	3093	2726	342	436	1793	1671	1379	1832
80835	5	1	1	3	1	2	2	1
107984912	0	0	0	1	1	0	0	1
3104	599	830	341	265	517	560	557	744
9903	1516	1955	484	309	1334	1227	1095	2097
107984913	20	11	3	7	11	19	22	28
148479	667	1136	346	273	742	796	1016	879
90326	910	1060	400	270	727	701	745	979
55735	4914	5023	1141	851	3526	3307	3277	4222
100505887	0	0	0	0	0	0	0	0
110841581	3	6	4	1	0	1	4	2
23261	460	701	286	246	177	212	220	219
105376692	0	1	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	0	0	0	1	0	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	4	7	37	23	0	0	0	0
9341	3217	4644	156	569	1206	1374	1366	798
8863	73	104	3	3	178	215	199	47
10911	5	11	8	19	3	3	3	0
3604	283	526	510	527	82	87	63	48
11315	4946	5272	2446	1578	2117	2287	2419	2417
54206	2824	3750	2179	5565	5890	7541	10723	6354
107984915	1	2	1	3	0	1	1	1
102724539	0	0	1	1	0	0	2	0
105376695	0	0	0	1	0	0	0	0
50651	13	18	61	67	63	88	129	88
473	3080	5564	1319	1409	1880	1966	2534	2227
102724552	4	4	0	1	1	0	0	1
106632271	2	0	0	1	0	0	0	0
2023	64258	68355	32204	20761	29451	29626	37559	45767
102465436	6	4	1	1	3	2	2	27
100505975	9	7	5	3	4	2	2	2
112268261	0	2	0	2	0	0	1	0
765	0	0	0	0	0	1	1	0
155184	0	0	3	1	0	1	2	0
6518	8	39	0	0	0	0	0	1
80045	484	765	159	160	391	416	466	628
106614088	87	251	23	29	40	59	59	48
407040	4	6	1	0	1	2	2	1
102724571	15	36	2	2	0	1	2	2
9563	687	1644	699	681	350	458	519	222
80176	427	718	575	392	347	419	452	584
100506022	5	12	8	3	3	2	4	2
84275	674	708	352	234	292	311	321	414
199953	1268	1308	444	379	644	555	495	772
107985734	11	15	15	8	10	5	10	9
105376712	0	0	0	0	2	0	0	0
5293	1015	991	263	201	368	408	486	453
644997	0	0	0	0	0	0	0	0
101929074	6	6	32	27	7	12	13	4
22883	11955	15768	4691	3545	4766	5016	5391	5701
56998	312	570	170	95	292	312	332	309
105376717	35	74	13	11	33	38	47	35
84328	1210	1563	124	272	509	479	447	324
64802	383	532	178	183	279	348	456	374
113391335	1	4	0	3	0	0	0	1
100847055	0	0	0	0	0	0	0	0
116362	29	54	455	364	64	76	67	57
10277	3852	3820	421	1182	1560	1543	1669	1352
23095	4328	5299	141	804	1294	1489	1442	529
105376725	7	9	1	0	1	0	0	2
5226	5120	7569	5531	3646	4517	4308	4625	6619
100526739	354	474	58	50	96	84	82	74
378708	345	465	52	42	87	80	76	70
1325	24	20	9	10	15	9	12	9
1676	7063	8278	2747	2447	2607	2759	3089	3498
5195	1014	1266	317	261	558	509	594	677
54897	1086	2008	549	529	177	194	222	219
105376733	0	0	0	0	0	0	0	0
105376735	0	0	0	2	0	0	0	0
148345	0	2	0	1	1	0	0	0
23435	11269	12353	879	1535	3259	3251	3238	3085
10747	145	114	2	11	36	27	17	9
6723	4146	3942	1737	1230	3829	3732	3413	4569
5394	4321	5214	354	1055	2124	2049	1880	1414
105376736	130	170	17	37	73	65	54	43
2475	9284	11030	1413	1756	3040	3141	2994	2972
100873935	117	159	24	22	42	36	43	44
10218	5	6	0	1	1	0	1	3
29914	1396	1572	1213	830	921	819	879	1167
105376737	3	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0
105376740	0	0	1	1	0	0	0	0
57540	17	45	5	8	2	1	4	6
112268221	1	4	0	2	0	0	0	1
101929181	5	3	2	1	0	0	0	9
26232	187	398	355	284	176	274	293	249
93611	639	922	170	121	369	447	483	566
26270	201	433	41	36	115	125	155	162
10459	939	1398	785	442	674	668	778	748
374946	1	5	3	3	2	1	1	0
57085	785	1278	527	351	383	475	545	551
284498	41	79	36	35	17	24	28	32
102724659	0	1	0	0	0	0	1	0
4524	275	409	212	195	113	116	148	125
1185	675	816	221	201	226	247	318	265
100379251	81	107	32	30	29	39	45	33
4878	22	13	3	2	8	2	4	6
4879	2	8	6	1	0	0	0	0
26829	2	0	0	0	0	0	0	1
90231	2266	2962	611	405	1490	1356	1430	2151
5351	5138	9026	2525	1820	7491	7782	8945	11052
9927	11840	14991	3523	2209	5090	5074	5548	6177
60672	682	896	470	327	372	394	412	426
102466982	4	5	2	1	2	3	1	3
943	144	189	0	0	3	1	1	3
102465836	1	1	2	2	0	2	0	0
7133	36	58	210	172	57	105	127	107
100616438	0	0	0	0	0	0	0	0
107984917	0	1	0	0	0	0	0	0
55187	3792	6181	37	640	1258	1642	1615	403
677885	8	13	1	0	4	4	3	2
105376744	6	1	0	1	0	0	0	1
9249	842	1907	383	298	818	1080	1288	1021
102466722	0	3	0	0	0	1	1	1
343066	0	0	0	1	0	0	0	0
126767	5	3	0	0	0	0	0	0
93190	0	0	0	1	0	0	0	1
390999	0	0	1	0	0	0	0	0
65121	1	1	0	0	1	0	1	1
105376745	0	0	0	0	0	0	0	0
440560	0	0	0	0	5	0	0	0
343069	1	0	0	0	0	0	1	0
65122	0	0	0	0	0	0	0	0
400735	0	0	2	0	1	0	1	0
343071	0	0	0	1	0	0	0	0
441871	0	0	1	0	1	0	0	1
440561	0	0	0	1	0	0	1	0
101929983	0	0	1	0	1	0	0	0
649330	0	0	0	0	0	0	1	0
441873	0	0	0	1	0	0	0	1
649324	0	0	0	0	0	0	0	0
440563	0	0	0	0	0	1	0	0
645354	0	0	0	0	0	0	0	0
645359	0	0	0	1	0	0	0	0
101060301	0	0	0	0	0	0	1	0
343070	0	0	1	0	0	0	0	0
400736	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	1	0
343068	0	0	0	1	0	0	0	1
391002	0	0	1	0	2	0	0	1
645382	0	0	0	1	0	0	0	0
653619	0	0	1	1	1	0	0	1
729528	0	0	0	0	0	0	1	0
645414	0	0	0	0	1	1	0	1
391004	0	0	0	0	0	0	1	0
645425	0	0	0	0	0	0	0	0
126755	0	3	0	0	388	497	597	405
102724856	0	0	0	2	17	26	34	26
107984918	0	0	0	0	17	20	38	21
10630	2078	3060	0	0	0	3	2	1
107984919	17	23	0	0	0	0	0	0
105378612	0	1	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0
7799	2729	3299	75	394	470	483	442	237
23254	955	1280	174	141	115	99	109	149
107985467	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0	0
105376759	1	5	0	0	0	0	0	0
107985469	5	5	0	0	0	0	0	0
200197	41	151	8	8	7	9	16	10
55092	591	1362	362	238	282	336	346	484
727684	2	11	0	2	0	1	2	2
114827	46	101	19	25	4	8	6	7
101927417	5	13	3	2	1	1	1	0
101927441	23	23	9	12	4	3	9	4
79180	8039	9068	2878	2113	3655	3911	3998	3841
11330	0	2	4	1	1	1	2	0
63036	0	0	0	0	1	0	1	1
105376767	0	1	0	0	0	0	2	1
51032	5	12	6	8	8	7	10	13
842	335	570	192	130	182	255	242	255
23341	1431	1658	46	339	519	512	506	279
107397391	0	0	0	1	0	0	0	0
79814	368	348	1	1	84	82	70	99
84301	3358	4292	27	451	338	399	267	74
6248	773	1061	9	113	84	104	83	26
23207	3734	4747	2185	1440	1177	1190	1235	1381
284723	23	26	23	15	6	4	5	6
110806303	0	1	2	0	1	1	1	2
388595	0	0	2	0	0	0	1	1
54751	1539	2518	923	739	907	1143	1336	1243
440567	214	179	113	66	120	107	135	175
729614	93	137	57	26	33	40	54	45
23013	8556	8293	221	1662	2119	2223	1806	856
7709	1274	1504	1449	937	679	754	876	1198
149563	0	0	1	0	0	0	0	0
27129	0	0	8	8	0	0	0	0
1187	4	7	8	12	0	1	2	0
1188	3	12	2	3	1	2	0	2
348487	29	49	110	86	68	107	125	105
1969	7914	6750	11458	7916	11945	11903	12103	12431
101927479	154	163	49	32	95	76	98	92
128272	482	902	545	368	171	199	177	186
101927546	41	79	17	21	26	30	48	28
79363	108	155	51	54	34	56	49	33
54455	901	1171	830	1070	419	467	486	570
26099	5145	5804	1507	965	2364	2371	2587	3360
374955	2041	2529	653	443	974	1046	1136	1429
55707	2046	2994	816	535	934	1044	1223	1289
107984921	55	54	10	15	20	31	28	21
114819	140	182	15	45	51	58	48	23
26871	0	0	0	0	1	0	0	0
107985757	0	0	0	0	0	0	0	0
100132147	4	14	1	1	1	0	0	1
107985758	0	0	0	0	0	0	0	1
7195	0	0	0	0	0	0	0	0
55672	1010	1005	313	793	2145	2221	1745	1694
105376794	871	1128	181	131	386	471	606	558
84809	410	553	111	92	217	272	341	305
11209	38	106	21	47	20	18	25	15
107985736	19	24	1	2	5	2	4	3
26869	1	0	0	0	1	0	0	0
107985759	0	0	0	0	0	0	0	0
284729	1	3	1	1	0	1	3	4
100189045	0	0	0	0	0	0	0	0
6060	1	0	0	0	0	1	0	0
11223	59	102	15	12	2	4	5	2
100500876	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0
112267871	19	31	3	3	1	0	1	1
7193	0	0	0	1	0	0	0	0
100189183	0	0	0	0	0	0	0	0
105376805	46	47	14	12	0	0	1	1
791226	0	0	0	0	0	0	0	0
26870	0	0	0	0	0	0	0	1
9696	950	1242	249	223	337	391	447	418
4237	253	458	9	2	0	1	2	4
105376806	43	91	0	1	0	0	0	2
23400	1811	2957	870	549	807	886	1030	1058
6390	2272	2692	1143	742	1516	1704	1819	1978
11240	24	77	87	56	34	28	17	21
105376808	0	0	0	0	0	0	0	0
400743	3	5	2	7	0	0	0	0
29943	17	19	37	19	2	0	1	1
51702	22	29	4	8	2	1	0	0
100616188	0	0	0	0	0	0	0	0
23569	7	4	1	2	5	1	2	2
353238	0	0	0	0	0	0	0	0
55920	10918	13230	3417	2592	3373	2985	3178	3704
55160	215	558	142	136	85	96	122	102
107984028	0	0	0	0	0	0	0	0
81569	1	0	0	1	0	1	0	0
105376809	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0
84966	0	0	0	0	1	0	0	0
105376814	0	0	0	0	0	0	0	0
127707	4	3	0	1	1	0	0	0
5081	0	0	0	2	0	4	0	3
80834	0	0	0	0	0	0	0	0
8659	375	645	356	288	251	290	329	296
100616120	0	0	0	0	0	1	0	0
100302276	0	0	0	0	0	0	0	0
126917	4253	4610	1924	1538	1613	1373	1662	2379
105376815	3	3	3	0	1	1	0	1
23352	13662	17021	2669	7396	8572	9383	11126	9711
101927895	205	312	128	128	187	179	182	233
23065	3720	5355	2446	2520	3105	3177	3192	3757
51154	2532	2059	1592	1095	1992	1785	1658	2326
246181	25	25	3	5	10	9	13	14
22977	39	42	7	4	9	11	18	17
100506730	161	276	15	25	58	58	63	39
8574	944	1460	768	511	480	508	490	466
54896	401	621	307	193	250	260	290	401
832	4256	5741	2727	1863	2337	2629	2880	2845
105376819	3	0	0	0	2	0	0	0
105376818	0	0	0	0	0	0	0	0
105376817	0	0	0	0	0	1	0	0
105378614	0	0	0	0	0	0	1	0
440574	320	355	165	145	213	216	221	238
100532736	864	1501	345	209	812	860	997	1072
644068	33	23	11	11	8	4	9	6
4681	756	1368	288	163	760	809	946	1018
3362	1	12	1	0	2	13	15	1
255104	358	636	507	385	283	281	283	268
54546	0	0	0	0	0	0	0	0
105376823	0	2	0	0	0	1	1	0
23252	562	689	49	336	446	508	421	274
30814	0	0	0	0	0	1	0	0
5320	0	0	1	0	0	1	1	1
5322	0	0	0	0	0	0	0	0
26279	0	0	0	0	0	2	0	0
64600	2	59	0	0	0	0	0	0
391013	0	0	0	0	0	0	0	1
127733	1	1	0	0	2	1	2	0
101928017	0	0	0	0	0	0	0	0
105376825	0	1	0	0	0	0	0	0
105376826	1	14	0	0	3	0	4	2
105376827	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0
127731	1	7	0	0	1	0	0	0
339505	2	0	0	0	0	0	0	0
55450	500	885	211	250	19	19	15	14
79594	949	1134	446	296	622	629	569	934
163933	0	0	0	0	5	7	3	11
978	1007	1499	562	420	765	781	916	1070
65018	1215	2213	658	432	1623	1693	1789	2122
102464833	44	93	29	23	77	90	93	100
100861548	1119	1801	604	443	1192	1247	1295	1498
1650	5691	7927	4357	3114	4557	4841	5109	5810
57576	11	15	71	54	40	53	38	36
400745	598	414	561	342	145	225	218	137
112268222	812	1079	111	274	413	458	457	267
50809	5459	7227	585	1501	2535	2620	2630	1649
8672	4305	5557	123	720	898	974	779	283
105376830	7	5	0	0	0	1	0	0
105376829	3	6	0	0	0	1	0	0
100302155	0	0	0	0	0	0	0	0
1889	3981	6701	6829	5570	4282	4186	4456	5706
100506801	3	10	7	11	1	3	3	5
105376832	0	0	0	0	0	0	0	0
84224	624	816	123	135	591	625	662	604
249	37	137	1	2	6	6	7	7
105376834	0	0	1	0	0	0	0	0
5909	335	637	140	106	179	207	233	234
84196	3321	4050	84	447	1108	1322	976	347
401944	226	470	251	225	476	641	827	467
3339	3054	7800	4432	4138	7779	10173	13347	7727
23436	0	1	0	0	0	0	0	0
10136	0	0	0	0	0	1	1	1
101928043	6	23	23	22	8	7	3	9
29092	59	92	107	81	69	61	71	64
112268223	14	16	3	3	4	5	6	5
998	7225	9338	559	1329	3207	3622	3433	2162
54361	199	401	16	13	34	54	64	37
105376845	11	35	4	3	1	6	4	3
105376850	1	5	1	0	2	0	1	2
107985377	2	1	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0
105376856	0	0	1	1	0	0	0	0
9923	1525	1610	475	753	962	974	920	1087
2046	24	2	0	2	0	0	0	1
102466615	0	0	0	0	0	0	0	0
712	0	1	0	0	0	0	0	0
714	0	0	1	1	0	0	0	0
713	0	0	0	0	0	0	0	0
2048	2179	2984	318	262	402	414	522	545
100616391	0	0	0	0	0	0	0	0
100422914	59	76	8	7	9	8	14	12
646262	0	0	18	9	21	26	14	8
729059	3	2	0	0	2	0	2	1
23028	5850	7207	1178	1101	2952	3266	3715	3541
100422866	0	1	0	0	0	0	0	0
7798	4753	6738	1135	2454	1789	1839	2152	1974
3352	248	289	256	240	40	32	28	32
100996511	76	86	1	3	10	4	8	3
10236	14093	15581	886	3023	4071	3719	2459	1985
80818	707	1099	36	258	354	344	312	224
148898	63	98	17	19	18	18	32	28
6920	34	108	53	38	457	745	954	534
55616	148	400	337	238	344	439	511	416
1870	153	452	320	249	247	277	249	241
101928163	7	11	10	9	6	10	9	10
105376859	10	20	52	42	2	5	5	8
3399	2446	2752	2451	1416	447	305	229	676
107984928	1	8	3	3	0	0	0	0
259283	0	0	0	0	0	0	0	0
6135	25010	29444	11869	7317	10921	11532	13911	13165
6924	5017	5584	846	1421	2546	2437	2563	2627
100506963	365	430	90	165	213	226	223	184
57095	1366	1584	915	523	817	683	626	895
105376860	112	173	73	51	98	103	118	117
11313	1150	1552	668	431	879	954	1177	1211
2582	795	1364	760	496	549	714	747	588
3155	262	501	372	244	250	303	414	317
105376861	0	2	1	0	2	4	3	1
2517	277	534	81	60	203	241	331	255
1269	3	0	0	0	1	0	0	1
107984929	1	0	0	0	0	0	0	0
100616492	0	0	0	0	0	0	0	0
55629	3539	4188	101	382	567	565	361	237
10772	5650	5516	106	668	1200	1151	680	504
105378615	0	0	0	0	0	0	0	0
105376863	1	0	0	0	0	0	0	0
107984931	0	1	0	0	1	0	0	0
127294	3	7	1	0	5	5	3	2
107985737	0	0	0	0	0	0	0	0
105376864	0	0	0	0	0	0	0	0
58985	278	606	85	58	63	84	73	81
163702	409	881	148	112	196	204	236	291
284632	0	3	0	0	0	1	0	0
105376871	3	13	0	5	0	0	0	0
57822	167	1116	26	14	2	0	5	2
90529	390	553	255	258	225	249	315	242
57185	1539	2201	674	732	1158	1195	1274	1360
100750325	1	5	2	3	0	2	2	0
11123	685	1174	74	154	290	389	360	181
100506985	24	31	1	4	10	11	8	4
400746	14	29	1	6	0	0	0	0
10250	6356	7434	304	1015	2311	2517	2617	1330
25932	4985	9287	380	2315	2314	2690	1551	425
105376876	0	0	0	0	0	0	0	1
864	5	6	586	423	271	312	285	270
102465437	0	0	0	1	1	0	1	0
107984932	0	0	6	5	0	0	0	0
105376878	2	1	45	46	6	6	2	4
100616365	0	0	0	0	0	0	0	0
105376879	0	3	0	0	0	0	0	0
25949	1542	2161	125	233	410	380	264	299
57035	918	1170	170	294	409	453	360	308
105376882	1	0	0	0	0	0	0	0
6007	22	50	15	18	0	7	3	4
23585	1526	1988	599	594	474	522	540	544
6006	860	1173	281	310	270	291	277	254
55219	827	870	91	224	377	382	317	251
26119	1548	2311	418	331	666	660	692	847
57134	16	20	9	11	9	13	5	13
57190	3179	5865	1265	964	2205	2258	2213	1944
56181	338	483	311	208	405	423	456	534
646471	82	142	100	68	110	100	120	120
79000	691	772	118	132	189	178	155	205
164091	684	1002	652	478	191	226	227	228
3925	3999	6050	729	1037	1681	1823	1881	1176
100500808	260	405	39	56	60	85	96	62
105376885	0	0	0	0	0	1	0	0
5051	296	485	183	185	189	232	232	273
101928216	3	5	3	8	0	3	5	1
2134	7	18	16	15	6	5	4	8
7780	1	1	6	3	0	0	0	0
105376910	0	0	1	0	0	0	0	1
84676	0	9	0	0	0	1	0	0
149420	166	300	9	37	30	35	16	7
105376886	1	3	0	0	0	0	0	0
79927	6	4	7	3	0	0	0	3
110806296	0	0	0	1	0	0	0	0
51042	457	442	346	199	299	327	362	429
10256	724	941	111	84	166	165	191	205
378807	0	0	1	0	0	2	2	0
101928303	1	1	0	0	0	1	0	0
64793	1804	2652	837	840	1066	1009	1147	1232
83442	3183	4878	2297	1319	7872	8252	10059	9865
91544	514	818	192	129	191	177	179	229
1043	7	11	1	0	0	0	1	0
55057	742	1306	72	48	11	13	15	11
257101	0	0	0	0	0	0	0	0
79727	0	0	2	1	0	0	1	1
79947	1086	1450	811	595	838	873	968	1258
101928324	6	22	3	6	2	3	6	5
3151	6859	8555	1391	1207	3398	3057	3446	3695
6195	2585	3336	754	564	2373	2719	3158	2799
100302190	0	0	0	0	0	0	1	0
105376888	0	0	0	4	0	0	0	0
101928728	22	37	11	14	4	3	8	3
8289	5942	7278	1580	2913	3930	3559	3488	3608
55650	161	301	139	78	100	101	145	116
84243	1058	1537	1630	1032	501	440	507	687
2810	21360	21887	2463	1457	2332	2285	2751	4384
54707	1144	1416	774	635	826	804	780	1048
63906	399	448	262	172	263	254	251	379
10726	9528	10023	2801	1654	6396	5966	5984	8359
8431	2	5	0	1	1	0	0	0
126695	402	572	3	3	9	6	4	7
388610	555	673	3451	2058	1461	1489	1582	2270
115572	58	95	117	81	31	22	21	31
101928391	0	1	1	1	3	2	2	3
6548	2808	3278	1126	773	1271	1310	1336	1719
102723760	0	0	0	0	0	0	0	0
105376890	0	0	0	0	0	0	0	0
23038	807	2032	448	317	1222	1433	1622	1577
84065	524	460	518	341	637	520	544	773
644961	33	45	6	10	16	30	31	37
84958	383	764	107	103	116	197	191	139
9064	758	1445	275	146	664	701	750	953
8547	2	0	2	3	2	3	1	1
388611	1	2	0	0	0	0	1	2
2827	115	165	95	73	137	150	158	202
10163	5820	8768	2715	2582	3227	3425	3945	3938
105376892	2	4	0	1	2	2	0	1
27245	839	1167	468	461	834	898	941	968
2268	41	46	2	0	0	0	0	0
111216282	0	1	0	0	0	0	0	0
2537	607	5838	144	125	68	86	110	85
199870	211	400	37	87	82	97	91	61
23673	858	1494	46	168	360	416	403	261
